topology,seed,case_id,vehicle_id,ground_truth_malicious,compromised_rsu,forged_attestation_id,forged_observation_root_id,false_direction,assigned_source_reliability,assigned_verifiability,attack_mode,fault_activated
smoke,1001,case-smoke-1001-veh_000-w0000,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0000-rsu-6-0,forged-root-731b221ccd44bc7b64b2,1,0.88,0.76,false_accusation,1
smoke,1001,case-smoke-1001-veh_000-w0000,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0000-rsu-6-1,forged-root-731b221ccd44bc7b64b2,1,0.88,0.76,false_accusation,1
smoke,1001,case-smoke-1001-veh_000-w0000,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0000-rsu-6-2,forged-root-731b221ccd44bc7b64b2,1,0.88,0.76,false_accusation,1
smoke,1001,case-smoke-1001-veh_000-w0000,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0000-rsu-6-3,forged-root-731b221ccd44bc7b64b2,1,0.88,0.76,false_accusation,1
smoke,1001,case-smoke-1001-veh_000-w0001,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0001-rsu-6-0,forged-root-6d335dd8bb6b9dde572d,1,0.88,0.76,false_accusation,1
smoke,1001,case-smoke-1001-veh_000-w0001,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0001-rsu-6-1,forged-root-6d335dd8bb6b9dde572d,1,0.88,0.76,false_accusation,1
smoke,1001,case-smoke-1001-veh_000-w0001,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0001-rsu-6-2,forged-root-6d335dd8bb6b9dde572d,1,0.88,0.76,false_accusation,1
smoke,1001,case-smoke-1001-veh_000-w0001,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0001-rsu-6-3,forged-root-6d335dd8bb6b9dde572d,1,0.88,0.76,false_accusation,1
smoke,1001,case-smoke-1001-veh_000-w0002,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0002-rsu-6-0,forged-root-67a3ff5c26cca0948f29,1,0.88,0.76,false_accusation,1
smoke,1001,case-smoke-1001-veh_000-w0002,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0002-rsu-6-1,forged-root-67a3ff5c26cca0948f29,1,0.88,0.76,false_accusation,1
smoke,1001,case-smoke-1001-veh_000-w0002,veh_000,0,rsu-6,forged-case-smoke-1001-veh_000-w0002-rsu-6-2,forged-root-67a3ff5c26cca0948f29,1,0.88,0.76,false_accusation,1
