architecture,seed,case_id,committed,view,leader,prepare_votes,commit_votes,started_at,committed_at,view_changes,reason,message_count,bytes_sent,safety_violation
distributed_rsu_vpuft,1001,case-1001-veh_002-w0001,True,0,rsu-1,4,4,29.03120510313992,29.065681205761056,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_004-w0001,True,0,rsu-1,4,4,29.080967039971902,29.115723598366532,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_008-w0001,True,0,rsu-1,4,4,29.1378099978914,29.179350224451223,0,committed,28,10432,False
distributed_rsu_vpuft,1001,case-1001-veh_002-w0002,True,0,rsu-1,4,4,44.02942083405027,44.06355060738636,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_004-w0002,True,0,rsu-1,4,4,44.07956091137666,44.11450137256486,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_006-w0002,True,0,rsu-1,4,4,44.123597655707584,44.15772442060559,0,committed,28,10432,False
distributed_rsu_vpuft,1001,case-1001-veh_008-w0002,True,0,rsu-1,4,4,44.16928113652761,44.208834160016465,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_010-w0002,True,0,rsu-1,4,4,44.253477151291044,44.29027887641985,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_002-w0003,True,0,rsu-1,4,4,59.024046373552515,59.06255203080485,0,committed,28,10432,False
distributed_rsu_vpuft,1001,case-1001-veh_004-w0003,True,0,rsu-1,4,4,59.07161349242996,59.110082417782536,0,committed,28,10432,False
distributed_rsu_vpuft,1001,case-1001-veh_006-w0003,True,0,rsu-1,4,4,59.1281505593064,59.16575098309567,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_008-w0003,True,0,rsu-1,4,4,59.18185328772873,59.218018278763715,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_010-w0003,True,0,rsu-1,4,4,59.26511189724916,59.30281480494433,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_012-w0003,True,0,rsu-1,4,4,59.31505025592013,59.35282898673535,0,committed,28,10432,False
distributed_rsu_vpuft,1001,case-1001-veh_002-w0004,True,0,rsu-1,4,4,74.03002419938625,74.06371827398759,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_004-w0004,True,0,rsu-1,4,4,74.08741192552948,74.12517922472651,0,committed,27,10080,False
distributed_rsu_vpuft,1001,case-1001-veh_006-w0004,True,0,rsu-1,4,4,74.13885327739231,74.17459429421858,0,committed,28,10624,False
distributed_rsu_vpuft,1001,case-1001-veh_008-w0004,True,0,rsu-1,4,4,74.18436659430228,74.21992366486107,0,committed,28,10432,False
distributed_rsu_vpuft,1001,case-1001-veh_010-w0004,True,0,rsu-1,4,4,74.27969441951758,74.31908093713899,0,committed,28,10432,False
distributed_rsu_vpuft,1001,case-1001-veh_012-w0004,True,0,rsu-1,4,4,74.33215497977875,74.37169574600296,0,committed,28,10432,False
distributed_rsu_vpuft,1001,case-1001-veh_014-w0004,True,0,rsu-1,4,4,74.41108676354688,74.4508783573423,0,committed,28,10432,False
distributed_rsu_vpuft,1001,case-1001-veh_008-w0005,True,0,rsu-1,4,4,89.03686157660859,89.07689833048465,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_002-w0001,True,0,rsu-1,4,4,29.02548001051164,29.069317013794436,0,committed,28,10432,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_004-w0001,True,0,rsu-1,4,4,29.027337500899257,29.107812296913483,0,committed,28,10432,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_006-w0001,True,0,rsu-1,4,4,29.12663524174292,29.16362453734714,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_008-w0001,True,0,rsu-1,4,4,29.031209411125893,29.20559641411727,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_012-w0001,True,0,rsu-1,4,4,29.047178373882527,29.25298901794092,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_002-w0002,True,0,rsu-1,4,4,44.07246419833656,44.11126538701105,0,committed,28,10432,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_004-w0002,True,0,rsu-1,4,4,44.118167656485895,44.156674288305986,0,committed,30,11136,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_006-w0002,True,0,rsu-1,4,4,44.177994453361705,44.21577631917533,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_008-w0002,True,0,rsu-1,4,4,44.21731973991241,44.257069956023855,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_010-w0002,True,0,rsu-1,4,4,44.35559740985514,44.38862032486696,0,committed,28,10432,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_014-w0002,True,0,rsu-1,4,4,44.5238768832479,44.55491350487398,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_002-w0003,True,0,rsu-1,4,4,59.065007008021766,59.09838689859785,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_004-w0003,True,0,rsu-1,4,4,59.14312007775912,59.176854211209374,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_006-w0003,True,0,rsu-1,4,4,59.19223055280194,59.229418114868814,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_008-w0003,True,0,rsu-1,4,4,59.24247607596873,59.27838148696648,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_010-w0003,True,0,rsu-1,4,4,59.401595252625796,59.44364124065119,0,committed,27,10080,False
ahmed_inspired_witness_vpuft,1001,case-1001-veh_012-w0003,True,0,rsu-1,4,4,59.42417186190553,59.48143322214613,0,committed,29,10784,False
